;Region/Country/Area;Tourist/visitor arrivals and tourism expenditure;Year;Series;Tourism arrivals series type;Tourism arrivals series type footnote;Value;Footnotes;Source;valor_expenditure;number_visitor
52;660;Anguilla;2015;Tourist/visitor arrivals (thousands);TF;;73;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;73
53;660;Anguilla;2016;Tourist/visitor arrivals (thousands);TF;;79;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;79
54;660;Anguilla;2017;Tourist/visitor arrivals (thousands);TF;;68;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;68
55;660;Anguilla;1995;Tourism expenditure (millions of US dollars);;;50;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;50;
56;660;Anguilla;2005;Tourism expenditure (millions of US dollars);;;86;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;86;
57;660;Anguilla;2010;Tourism expenditure (millions of US dollars);;;99;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;99;
58;660;Anguilla;2015;Tourism expenditure (millions of US dollars);;;142;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;142;
59;660;Anguilla;2016;Tourism expenditure (millions of US dollars);;;143;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;143;
60;660;Anguilla;2017;Tourism expenditure (millions of US dollars);;;149;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;149;
61;28;Antigua and Barbuda;1995;Tourist/visitor arrivals (thousands);TF;;220;Excluding nationals residing abroad.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;220
62;28;Antigua and Barbuda;2005;Tourist/visitor arrivals (thousands);TF;;245;"Excluding nationals residing abroad.;Arrivals by air.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;245
63;28;Antigua and Barbuda;2010;Tourist/visitor arrivals (thousands);TF;;230;"Excluding nationals residing abroad.;Arrivals by air.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;230
64;28;Antigua and Barbuda;2015;Tourist/visitor arrivals (thousands);TF;;250;"Excluding nationals residing abroad.;Arrivals by air.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;250
65;28;Antigua and Barbuda;2016;Tourist/visitor arrivals (thousands);TF;;265;"Excluding nationals residing abroad.;Arrivals by air.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;265
66;28;Antigua and Barbuda;2017;Tourist/visitor arrivals (thousands);TF;;247;"Excluding nationals residing abroad.;Arrivals by air.";World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;;247
67;28;Antigua and Barbuda;1995;Tourism expenditure (millions of US dollars);;;247;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;247;
68;28;Antigua and Barbuda;2005;Tourism expenditure (millions of US dollars);;;309;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;309;
69;28;Antigua and Barbuda;2010;Tourism expenditure (millions of US dollars);;;298;Excluding passenger transport.;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;298;
70;28;Antigua and Barbuda;2015;Tourism expenditure (millions of US dollars);;;805;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;805;
71;28;Antigua and Barbuda;2016;Tourism expenditure (millions of US dollars);;;804;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;804;
72;28;Antigua and Barbuda;2017;Tourism expenditure (millions of US dollars);;;774;;World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019.;774;
